"code_theme","libelle_theme","code_ogr_rome","code_rome","libelle_rome"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","514","N2203","Agent / Agente de piste"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489039","N2206","Pilote de drone"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","517","N3101","Capitaine de port"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","518","N3102","Marin"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","523","N4101","Conducteur / Conductrice de poids lourd"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488611","N4111","Conducteur / Conductrice super poids lourd de l'armée"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489057","N4130","Conducteur / Conductrice de voiture radar à conduite externalisée"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","10","A1204","Garde Forestier / Forestière"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488634","A1206","Concepteur / Conceptrice paysagiste"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488346","A1423","Œnologue"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","36","B1101","Artiste Plasticien / Plasticienne"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488793","B1102","Mosaïste d'art"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","489159","B1103","Sculpteur / Sculptrice ornemaniste sur pierre"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","37","B1201","Céramiste d'art"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","39","B1302","Décorateur / Décoratrice d'objets d'art"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","40","B1303","Graveur / Graveuse d'art"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488724","B1304","Artisan démonstrateur / Artisane démonstratrice"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","42","B1402","Relieur / Relieuse d'art"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","489064","B1403","Restaurateur / Restauratrice de livres anciens"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","43","B1501","Facteur / Factrice d'instruments de musique"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","44","B1601","Métallier / Métallière d'art"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","45","B1602","Souffleur / Souffleuse de verre"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","46","B1603","Opérateur / Opératrice en orfèvrerie et bijouterie"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488744","B1613","Orfèvre"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","489215","B1614","Monteur / Monteuse en orfèvrerie"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","48","B1701","Taxidermiste"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","52","B1804","Brodeur / Brodeuse"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","54","B1806","Tapissier / Tapissière d'ameublement"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","87","D1201","Brocanteur / Brocanteuse"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","142","F1101","Architecte"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","143","F1102","Architecte d'intérieur"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488637","F1121","Architecte du patrimoine national"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","158","F1501","Poseur / Poseuse de charpentes ou constructions bois"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","161","F1601","Plâtrier / Plâtrière"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","172","F1612","Tailleur / Tailleuse de pierre"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","404037","F1619","Couvreur / Couvreuse"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","489084","F1624","Staffeur Stuqueur / Staffeuse Stuqueuse"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488765","G1104","Consultant / Consultante tourisme"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488774","G1105","Directeur / Directrice d'office du tourisme"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488794","G1106","Animateur / Animatrice du patrimoine"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","182","G1201","Guide-accompagnateur / Guide-accompagnatrice"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","183","G1202","Animateur / Animatrice d'activités culturelles et de loisirs"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488606","G1222","Guide-conférencier / Guide-conférencière"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488752","G1227","Guide-interprète"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","242","H2206","Menuisier / Menuisière"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","243","H2207","Ébéniste"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","244","H2208","Sculpteur / Sculptrice sur bois"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","489038","H2210","Tonnelier / Tonnelière"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","247","H2401","Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","304","I1101","Directeur / Directrice des travaux bâtiment"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","389","K1601","Documentaliste"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","390","K1602","Conservateur / Conservatrice du patrimoine"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488610","K1604","Directeur / Directrice d'établissement culturel"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488727","K1605","Commissaire d'exposition"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488758","K1606","Responsable de la conservation préventive"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","489080","K1607","Conservateur / Conservatrice des antiquités et objets d'art"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","488737","K1907","Commissaire-priseur / Commissaire-priseure"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","411","K2108","Professeur / Professeure des universités"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","426","K2401","Chercheur / Chercheuse en sciences humaines et sociales"
"003","Métiers du patrimoine et de la restauration d'oeuvres d'art","427","K2402","Ingénieur / Ingénieure de recherche scientifique"
"004","Métiers de l'intelligence économique","14","A1303","Ingénieur / Ingénieure agronome"
"004","Métiers de l'intelligence économique","57","C1103","Courtier / Courtière en assurance"
"004","Métiers de l'intelligence économique","404510","C1111","Mandataire en assurance"
"004","Métiers de l'intelligence économique","404511","C1112","Agent général / Agente générale d'assurance"
"004","Métiers de l'intelligence économique","103","D1402","Commercial / Commerciale grands comptes et entreprises"
"004","Métiers de l'intelligence économique","107","D1406","Responsable des ventes"
"004","Métiers de l'intelligence économique","488282","D1411","Responsable Efficacité Commerciale (SFE)"
"004","Métiers de l'intelligence économique","488301","D1413","Délégué / Déléguée pharmaceutique"
"004","Métiers de l'intelligence économique","488326","D1414","Responsable de zone internationale"
"004","Métiers de l'intelligence économique","488879","D1416","Commercial / Commerciale auprès d'une clientèle d'entreprises"
"004","Métiers de l'intelligence économique","121","E1103","Chargé / Chargée des relations publiques"
"004","Métiers de l'intelligence économique","124","E1106","Journaliste"
"004","Métiers de l'intelligence économique","403088","E1109","Directeur / Directrice de la communication"
"004","Métiers de l'intelligence économique","488749","E1110","Community manager"
"004","Métiers de l'intelligence économique","489052","E1113","E-commercial / E-commerciale"
"004","Métiers de l'intelligence économique","147","F1106","Ingénieur / Ingénieure d'études BTP"
"004","Métiers de l'intelligence économique","488302","H1103","Responsable d'affaires en industrie"
"004","Métiers de l'intelligence économique","217","H1206","Ingénieur / Ingénieure R&D en industrie"
"004","Métiers de l'intelligence économique","221","H1210","Technicien / Technicienne R&D"
"004","Métiers de l'intelligence économique","488308","H1216","Responsable des études épidémiologiques"
"004","Métiers de l'intelligence économique","488285","H1304","Responsable environnement-hygiène-sécurité en industrie"
"004","Métiers de l'intelligence économique","488902","I1104","Ingénieur / Ingénieure infrastructures télécoms réseaux mobiles"
"004","Métiers de l'intelligence économique","489085","I1106","Responsable de maintenance réseaux des territoires connectés"
"004","Métiers de l'intelligence économique","379","K1401","Cadre Dirigeant / Dirigeante d'administration centrale"
"004","Métiers de l'intelligence économique","382","K1404","Chargé / Chargée de mission développement territorial"
"004","Métiers de l'intelligence économique","383","K1405","Préfet / Préfète"
"004","Métiers de l'intelligence économique","389","K1601","Documentaliste"
"004","Métiers de l'intelligence économique","394","K1704","Officier / Officière de police"
"004","Métiers de l'intelligence économique","402","K1903","Juriste"
"004","Métiers de l'intelligence économique","489169","K1908","Responsable de service contentieux et recouvrement"
"004","Métiers de l'intelligence économique","427","K2402","Ingénieur / Ingénieure de recherche scientifique"
"004","Métiers de l'intelligence économique","429","K2502","Responsable sécurité de site"
"004","Métiers de l'intelligence économique","488622","K2505","Enquêteur privé / Enquêtrice privée"
"004","Métiers de l'intelligence économique","456","M1101","Acheteur / Acheteuse"
"004","Métiers de l'intelligence économique","457","M1102","Responsable des achats"
"004","Métiers de l'intelligence économique","458","M1201","Analyste Financier / Financière"
"004","Métiers de l'intelligence économique","461","M1204","Contrôleur / Contrôleuse de gestion"
"004","Métiers de l'intelligence économique","488629","M1208","Responsable contrôle de gestion"
"004","Métiers de l'intelligence économique","488910","M1209","Conseiller / Conseillère en gestion"
"004","Métiers de l'intelligence économique","465","M1301","Président Directeur Général / Présidente Directrice Générale -PDG-"
"004","Métiers de l'intelligence économique","466","M1302","Responsable de Petite ou Moyenne Entreprise -PME-"
"004","Métiers de l'intelligence économique","468","M1402","Consultant / Consultante en organisation et management"
"004","Métiers de l'intelligence économique","469","M1403","Chargé / Chargée d'études socio-économiques"
"004","Métiers de l'intelligence économique","404047","M1405","Data scientist"
"004","Métiers de l'intelligence économique","488287","M1406","Responsable RSE - Responsabilité Sociétale de l'Entreprise"
"004","Métiers de l'intelligence économique","488639","M1409","Ingénieur / Ingénieure économiste en entreprise"
"004","Métiers de l'intelligence économique","488729","M1410","Responsable Green IT"
"004","Métiers de l'intelligence économique","488778","M1412","Ergonome"
"004","Métiers de l'intelligence économique","489213","M1414","Ingénieur statisticien / Ingénieure statisticienne"
"004","Métiers de l'intelligence économique","473","M1503","Directeur / Directrice des Ressources Humaines -DRH-"
"004","Métiers de l'intelligence économique","488608","M1506","Manager de proximité"
"004","Métiers de l'intelligence économique","485","M1703","Chef / Cheffe de produit"
"004","Métiers de l'intelligence économique","487","M1705","Responsable marketing"
"004","Métiers de l'intelligence économique","488","M1706","Chef de promotion des ventes"
"004","Métiers de l'intelligence économique","489","M1707","Responsable Commercial / Commerciale"
