"code_grand_domaine","code_domaine_professionnel","numero_fiche_rome","intitule","libelle_appellation_long","libelle_appellation_court","type_provenance","code_fiche","ogr_rome","ogr_appellation"
"","","","","Hydraulicien / Hydraulicienne en agriculture","Hydraulicien / Hydraulicienne en agriculture","4","27","12","15498"
"","","","","Technicien / Technicienne arboricole","Technicien / Technicienne arboricole","4","27","12","19657"
"","","","","Technicien / Technicienne avicole","Technicien / Technicienne avicole","4","27","12","19667"
"","","","","Technicien / Technicienne bâtiments d'élevage","Technicien / Technicienne bâtiments d'élevage","4","27","12","19670"
"","","","","Technicien / Technicienne bovin","Technicien / Technicienne bovin","4","27","12","19679"
"","","","","Technicien / Technicienne caprin","Technicien / Technicienne caprin","4","27","12","19683"
"","","","","Technicien / Technicienne cunicole","Technicien / Technicienne cunicole","4","27","12","19705"
"","","","","Technicien / Technicienne d'agriculture","Technicien / Technicienne d'agriculture","4","27","12","19709"
"","","","","Technicien / Technicienne de culture maraîchère","Technicien / Technicienne de culture maraîchère","4","27","12","19743"
"","","","","Technicien / Technicienne de génie écologique","Technicien / Technicienne de génie écologique","4","27","12","200083"
"","","","","Technicien / Technicienne de maintenance végétale","Technicien / Technicienne de maintenance végétale","4","27","12","19875"
"","","","","Technicien / Technicienne de production animale","Technicien / Technicienne de production animale","4","27","12","19900"
"","","","","Technicien / Technicienne d'élevage","Technicien / Technicienne d'élevage","4","27","12","19932"
"","","","","Technicien / Technicienne des travaux forestiers","Technicien / Technicienne des travaux forestiers","4","27","12","19953"
"","","","","Technicien / Technicienne d'expérimentation","Technicien / Technicienne d'expérimentation","4","27","12","19968"
"","","","","Technicien / Technicienne du génie rural","Technicien / Technicienne du génie rural","4","27","12","20019"
"","","","","Technicien / Technicienne du génie sanitaire et environnement","Technicien(ne) du génie sanitaire et environnement","4","27","12","20020"
"","","","","Technicien / Technicienne en agriculture biologique","Technicien / Technicienne en agriculture biologique","4","27","12","20036"
"","","","","Technicien / Technicienne en alimentation animale","Technicien / Technicienne en alimentation animale","4","27","12","20037"
"","","","","Technicien / Technicienne en fabrication fromagère","Technicien / Technicienne en fabrication fromagère","4","27","12","20066"
"","","","","Technicien / Technicienne équin","Technicien / Technicienne équin","4","27","12","20135"
"","","","","Technicien / Technicienne horticole","Technicien / Technicienne horticole","4","27","12","20165"
"","","","","Technicien / Technicienne ovin","Technicien / Technicienne ovin","4","27","12","20207"
"","","","","Technicien / Technicienne porcin","Technicien / Technicienne porcin","4","27","12","20218"
"","","","","Technicien foncier / Technicienne foncière","Technicien foncier / Technicienne foncière","4","27","12","20147"
"","","","","Technicien foncier / Technicienne foncière en agriculture","Technicien foncier / Technicienne foncière en agriculture","4","27","12","20148"
"","","","","Technicien forestier / Technicienne forestière","Technicien forestier / Technicienne forestière","4","27","12","20149"
"","","","","Technicien forestier / Technicienne forestière d'études et de recherche","Technicien(ne) forestier(ère) d'études et de recherche","4","27","12","20150"
"","","","","Technicien laitier / Technicienne laitière","Technicien laitier / Technicienne laitière","4","27","12","20179"
"A","13","02","Technicien / Technicienne agricole","","","3","25","13",""
"","","","","Agent / Agente de collecte d'embryons","Agent / Agente de collecte d'embryons","4","25","13","10401"
"","","","","Agent / Agente de production laitière","Agent / Agente de production laitière","4","25","13","10566"
"","","","","Agent / Agente sanitaire apicole","Agent / Agente sanitaire apicole","4","25","13","10754"
"","","","","Agent / Agente sanitaire de l'agriculture","Agent / Agente sanitaire de l'agriculture","4","25","13","10755"
"","","","","Agent / Agente technique agricole","Agent / Agente technique agricole","4","25","13","10759"
"","","","","Agent / Agente technique d'élevage","Agent / Agente technique d'élevage","4","25","13","10778"
"","","","","Agent / Agente technique en produits de traitement","Agent / Agente technique en produits de traitement","4","25","13","10789"
"","","","","Assistant / Assistante sanitaire apicole","Assistant / Assistante sanitaire apicole","4","25","13","11330"
"","","","","Contrôleur / Contrôleuse de croissance de l'agriculture","Contrôleur / Contrôleuse de croissance de l'agriculture","4","25","13","13594"
"","","","","Contrôleur / Contrôleuse de culture","Contrôleur / Contrôleuse de culture","4","25","13","13595"
"","","","","Contrôleur / Contrôleuse de performance","Contrôleur / Contrôleuse de performance","4","25","13","13612"
"","","","","Contrôleur / Contrôleuse viticole","Contrôleur / Contrôleuse viticole","4","25","13","13662"
"","","","","Contrôleur laitier / Contrôleuse laitière","Contrôleur laitier / Contrôleuse laitière","4","25","13","13642"
"","","","","Contrôleur-pointeur / Contrôleuse-pointeuse","Contrôleur-pointeur / Contrôleuse-pointeuse","4","25","13","13665"
"","","","","Inséminateur artificiel / Inséminatrice artificielle","Inséminateur artificiel / Inséminatrice artificielle","4","25","13","15918"
"","","","","Peseur laitier / Peseuse laitière","Peseur laitier / Peseuse laitière","4","25","13","17673"
"","","","","Technicien / Technicienne agricole","Technicien / Technicienne agricole","4","25","13","19652"
"","","","","Technicien / Technicienne de contrôle de croissance de l'agriculture","Technicien(ne) de contrôle de croissance de l'agriculture","4","25","13","19724"
"","","","","Technicien / Technicienne de contrôle laitier","Technicien / Technicienne de contrôle laitier","4","25","13","19736"
"","","","","Technicien / Technicienne de production laitière","Technicien / Technicienne de production laitière","4","25","13","19917"
"","","","","Technicien / Technicienne des services vétérinaires","Technicien / Technicienne des services vétérinaires","4","25","13","19951"
"A","13","03","Ingénieur / Ingénieure agronome","","","3","29","14",""
"","","","","Agro-économiste","Agro-économiste","4","29","14","10804"
"","","","","Bio-ingénieur / Bio-ingénieure","Bio-ingénieur / Bio-ingénieure","4","29","14","11522"
"","","","","Chargé / Chargée de mission biodiversité","Chargé / Chargée de mission biodiversité","4","29","14","38760"
"","","","","Chargé / Chargée de mission en agriculture","Chargé / Chargée de mission en agriculture","4","29","14","11824"
"","","","","Chargé / Chargée de recherche en agriculture","Chargé / Chargée de recherche en agriculture","4","29","14","11861"
"","","","","Chargé / Chargée d'études agricoles","Chargé / Chargée d'études agricoles","4","29","14","11896"
"","","","","Chargé / Chargée d'études du patrimoine naturel","Chargé / Chargée d'études du patrimoine naturel","4","29","14","38762"
"","","","","Chargé / Chargée d'études économiques en agriculture","Chargé / Chargée d'études économiques en agriculture","4","29","14","11903"
"","","","","Chargé / Chargée d'études en biodiversité","Chargé / Chargée d'études en biodiversité","4","29","14","38761"
"","","","","Chargé / Chargée d'études en développement agricole","Chargé / Chargée d'études en développement agricole","4","29","14","11906"
"","","","","Chargé / Chargée d'études en développement rural","Chargé / Chargée d'études en développement rural","4","29","14","11907"
"","","","","Chargé / Chargée d'études environnement","Chargé / Chargée d'études environnement","4","29","14","11910"
"","","","","Expérimentateur / Expérimentatrice en agriculture","Expérimentateur / Expérimentatrice en agriculture","4","29","14","14931"
"","","","","Expert / Experte cynégétique","Expert / Experte cynégétique","4","29","14","14934"
"","","","","Expert / Experte en aquaculture","Expert / Experte en aquaculture","4","29","14","14936"
"","","","","Expert agricole et foncier / Experte agricole et foncière","Expert agricole et foncier / Experte agricole et foncière","4","29","14","14932"
"","","","","Expert forestier / Experte forestière","Expert forestier / Experte forestière","4","29","14","14948"
"","","","","Ingénieur / Ingénieure agro-environnement","Ingénieur / Ingénieure agro-environnement","4","29","14","15575"
"","","","","Ingénieur / Ingénieure agro-halieute","Ingénieur / Ingénieure agro-halieute","4","29","14","15576"
"","","","","Ingénieur / Ingénieure agronome","Ingénieur / Ingénieure agronome","4","29","14","15577"
"","","","","Ingénieur / Ingénieure arboricole","Ingénieur / Ingénieure arboricole","4","29","14","15583"
"","","","","Ingénieur / Ingénieure des eaux et forêts","Ingénieur / Ingénieure des eaux et forêts","4","29","14","15682"
"","","","","Ingénieur / Ingénieure des techniques forestières","Ingénieur / Ingénieure des techniques forestières","4","29","14","15685"
"","","","","Ingénieur / Ingénieure des travaux agricoles","Ingénieur / Ingénieure des travaux agricoles","4","29","14","15686"
"","","","","Ingénieur / Ingénieure des travaux des eaux et forêts","Ingénieur / Ingénieure des travaux des eaux et forêts","4","29","14","15688"
"","","","","Ingénieur / Ingénieure des travaux ruraux","Ingénieur / Ingénieure des travaux ruraux","4","29","14","15692"
"","","","","Ingénieur / Ingénieure d'études et de recherche agricoles","Ingénieur / Ingénieure d'études et de recherche agricoles","4","29","14","15711"
"","","","","Ingénieur / Ingénieure du génie rural","Ingénieur / Ingénieure du génie rural","4","29","14","15723"
"","","","","Ingénieur / Ingénieure du génie rural des eaux et forêts (IGREF)","Ingénieur(e) du génie rural des eaux et forêts (IGREF)","4","29","14","15724"
"","","","","Ingénieur / Ingénieure écologue","Ingénieur / Ingénieure écologue","4","29","14","200081"
"","","","","Ingénieur / Ingénieure en expérimentation animale","Ingénieur / Ingénieure en expérimentation animale","4","29","14","15760"
"","","","","Ingénieur / Ingénieure en expérimentation végétale","Ingénieur / Ingénieure en expérimentation végétale","4","29","14","15761"
"","","","","Ingénieur / Ingénieure en techniques d'expérimentation animale","Ingénieur(e) en techniques d'expérimentation animale","4","29","14","15788"
"","","","","Ingénieur / Ingénieure halieute","Ingénieur / Ingénieure halieute","4","29","14","15814"
"","","","","Ingénieur / Ingénieure horticole","Ingénieur / Ingénieure horticole","4","29","14","15815"
"","","","","Ingénieur / Ingénieure méthanisation","Ingénieur / Ingénieure méthanisation","4","29","14","200082"
"","","","","Ingénieur / Ingénieure paysagiste","Ingénieur / Ingénieure paysagiste","4","29","14","15852"
"A","13","04","Conseiller / Conseillère technique agricole","","","3","30050","403951",""
"","","","","Animateur / Animatrice agricole","Animateur / Animatrice agricole","4","30050","403951","10972"
"","","","","Animateur / Animatrice d'organismes agricoles","Animateur / Animatrice d'organismes agricoles","4","30050","403951","11050"
"","","","","Conseiller / Conseillère agricole","Conseiller / Conseillère agricole","4","30050","403951","13350"
"","","","","Conseiller / Conseillère d'agriculture","Conseiller / Conseillère d'agriculture","4","30050","403951","13386"
"","","","","Conseiller / Conseillère de gestion agricole","Conseiller / Conseillère de gestion agricole","4","30050","403951","13388"
"","","","","Conseiller / Conseillère en génie climatique agricole","Conseiller / Conseillère en génie climatique agricole","4","30050","403951","38324"
"","","","","Conseiller / Conseillère en irrigation","Conseiller / Conseillère en irrigation","4","30050","403951","13439"
"","","","","Conseiller / Conseillère en machinisme agricole","Conseiller / Conseillère en machinisme agricole","4","30050","403951","13440"
"","","","","Conseiller / Conseillère technique agricole","Conseiller / Conseillère technique agricole","4","30050","403951","13481"
"","","","","Conseiller / Conseillère viticole","Conseiller / Conseillère viticole","4","30050","403951","13496"
"","","","","Technicien / Technicienne Conseil aux agriculteurs","Technicien / Technicienne Conseil aux agriculteurs","4","30050","403951","404026"
"","","","","Technicien / Technicienne semences","Technicien / Technicienne semences","4","30050","403951","20252"
"","","","","Technicien / Technicienne viticole","Technicien / Technicienne viticole","4","30050","403951","20286"
"A","14","","Production","","","2","","",""
"A","14","01","Vendangeur / Vendangeuse","","","3","34","15",""
"","","","","Aide agricole en arboriculture","Aide agricole en arboriculture","4","34","15","10806"
"","","","","Aide agricole en production fruitière","Aide agricole en production fruitière","4","34","15","10810"
"","","","","Aide agricole en viticulture","Aide agricole en viticulture","4","34","15","10814"
"","","","","Aide arboricole","Aide arboricole","4","34","15","10815"
"","","","","Aide viticole","Aide viticole","4","34","15","10862"
"","","","","Aide-arboriculteur / Aide-arboricultrice","Aide-arboriculteur / Aide-arboricultrice","4","34","15","10864"
"","","","","Aide-pépiniériste","Aide-pépiniériste","4","34","15","10886"
"","","","","Aide-viticulteur / Aide-viticultrice","Aide-viticulteur / Aide-viticultrice","4","34","15","10900"
"","","","","Cueilleur / Cueilleuse de cerises","Cueilleur / Cueilleuse de cerises","4","34","15","13853"
"","","","","Cueilleur / Cueilleuse de fruits","Cueilleur / Cueilleuse de fruits","4","34","15","13855"
"","","","","Cueilleur / Cueilleuse de pêches","Cueilleur / Cueilleuse de pêches","4","34","15","13856"
"","","","","Cueilleur / Cueilleuse de poires","Cueilleur / Cueilleuse de poires","4","34","15","13857"
"","","","","Cueilleur / Cueilleuse de pommes","Cueilleur / Cueilleuse de pommes","4","34","15","13858"
"","","","","Planteur / Planteuse de bananes","Planteur / Planteuse de bananes","4","34","15","17817"
"","","","","Porteur / Porteuse de hottes","Porteur / Porteuse de hottes","4","34","15","17892"
"","","","","Vendangeur / Vendangeuse","Vendangeur / Vendangeuse","4","34","15","20510"
"A","14","02","Aide horticole","","","3","32","16",""
"","","","","Aide agricole en maraîchage-horticulture","Aide agricole en maraîchage-horticulture","4","32","16","10807"
"","","","","Aide agricole en polyculture","Aide agricole en polyculture","4","32","16","10808"
"","","","","Aide agricole en production florale","Aide agricole en production florale","4","32","16","10809"
"","","","","Aide agricole en production légumière","Aide agricole en production légumière","4","32","16","10812"
"","","","","Aide agricole en production végétale","Aide agricole en production végétale","4","32","16","10813"
"","","","","Aide horticole","Aide horticole","4","32","16","10849"
"","","","","Aide maraîcher / Aide maraîchère","Aide maraîcher / Aide maraîchère","4","32","16","10853"
"","","","","Castreur / Castreuse de maïs","Castreur / Castreuse de maïs","4","32","16","11710"
"","","","","Coupeur / Coupeuse de canne à sucre","Coupeur / Coupeuse de canne à sucre","4","32","16","13775"
"","","","","Cueilleur / Cueilleuse de feuilles de tabac","Cueilleur / Cueilleuse de feuilles de tabac","4","32","16","13854"
"","","","","Planteur / Planteuse de café - thé","Planteur / Planteuse de café - thé","4","32","16","17818"
"","","","","Planteur / Planteuse de canne à sucre","Planteur / Planteuse de canne à sucre","4","32","16","17819"
"","","","","Planteur / Planteuse de tabac","Planteur / Planteuse de tabac","4","32","16","17820"
"","","","","Ramasseur / Ramasseuse d'ail","Ramasseur / Ramasseuse d'ail","4","32","16","18275"
"","","","","Ramasseur / Ramasseuse d'asperges","Ramasseur / Ramasseuse d'asperges","4","32","16","18276"
"","","","","Ramasseur / Ramasseuse de champignons","Ramasseur / Ramasseuse de champignons","4","32","16","18277"
"","","","","Ramasseur / Ramasseuse de légumes","Ramasseur / Ramasseuse de légumes","4","32","16","18278"
"","","","","Ramasseur / Ramasseuse de pommes de terre","Ramasseur / Ramasseuse de pommes de terre","4","32","16","18279"
"","","","","Ramasseur / Ramasseuse d'endives","Ramasseur / Ramasseuse d'endives","4","32","16","18281"
"A","14","03","Aide d'élevage agricole","","","3","31","17",""
"","","","","Aide agricole en production laitière","Aide agricole en production laitière","4","31","17","10811"
"","","","","Aide d'élevage","Aide d'élevage","4","31","17","404410"
"","","","","Aide d'élevage agricole","Aide d'élevage agricole","4","31","17","404919"
"","","","","Aide d'élevage bovin","Aide d'élevage bovin","4","31","17","10833"
