"code_rome","riasec_majeur","riasec_mineur"
"M1839","I","C"
"M1840","E","I"
"M1841","I","C"
"M1842","I","C"
"M1843","I","C"
"M1844","I","C"
"M1845","I","C"
"M1846","I","C"
"M1847","I","C"
"M1848","I","C"
"M1849","I","C"
"M1850","I","C"
"M1851","I","C"
"M1852","I","C"
"M1853","I","C"
"M1854","I","C"
"M1855","I","C"
"M1856","I","C"
"M1857","I","R"
"M1858","I","C"
"M1859","I","C"
"M1860","I","C"
"M1861","I","C"
"M1862","I","R"
"M1863","I","C"
"N1101","R",""
"N1102","R",""
"N1103","R",""
"N1104","R",""
"N1105","R",""
"N1106","R",""
"N1107","R","C"
"N1108","R",""
"N1109","R",""
"N1110","R","C"
"N1111","R",""
"N1112","R",""
"N1113","R","C"
"N1114","R",""
"N1115","R","C"
"N1116","R","C"
"N1201","C","E"
"N1202","C","E"
"N1203","C",""
"N1204","C",""
"N1205","C",""
"N1206","C",""
"N1207","C",""
"N1301","C","E"
"N1302","E","C"
"N1303","C","E"
"N1304","C",""
"N1305","C","I"
"N2101","I","R"
"N2102","I","R"
"N2201","C","S"
"N2202","C","I"
"N2203","R","C"
"N2204","C","E"
"N2205","E","C"
"N2206","R",""
"N2207","S",""
"N3101","R","E"
"N3102","R","E"
"N3103","R","C"
"N3201","C","E"
"N3202","C","E"
"N3203","R",""
"N3204","R","C"
"N4101","R",""
"N4102","R",""
"N4103","R",""
"N4104","R",""
"N4105","R",""
"N4106","C",""
"N4107","R",""
"N4108","S","R"
"N4109","R","C"
"N4110","R","C"
"N4111","R",""
"N4112","R",""
"N4113","R",""
"N4114","R",""
"N4115","R",""
"N4116","R",""
"N4117","R",""
"N4118","R",""
"N4119","R",""
"N4120","R","C"
"N4121","R",""
"N4122","R",""
"N4123","R",""
"N4124","R",""
"N4125","R",""
"N4126","R",""
"N4127","R",""
"N4128","R",""
"N4129","R",""
"N4130","R",""
"N4131","R",""
"N4132","R",""
"N4201","E","C"
"N4202","E","C"
"N4203","C","R"
"N4204","C","R"
"N4301","R","C"
"N4302","C","S"
"N4401","C","R"
"N4402","R","C"
"N4403","R","C"
