"code_rome","code_fiche_metier","code_ogr","libelle_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","code_rome_parent"
"D1416","32735","488879","Commercial / Commerciale auprès d'une clientèle d'entreprises","Emploi Blanc","N","N","N","N","D1402"
"D1417","32764","488908","Chef / Cheffe des ventes","Emploi Blanc","N","N","N","O","D1406"
"D1418","32782","488926","Négociant / Négociante en bois","Emploi Blanc","N","N","N","N","D1407"
"D1419","32784","488928","Courtier / Courtière en vins","Emploi Blanc","N","N","N","N","D1407"
"D1420","32896","489185","Cadre Technico-commercial / Technico-commerciale","Emploi Blanc","N","N","N","O","D1407"
"D1501","30035","110","Animateur / Animatrice des ventes","Emploi Blanc","N","N","N","N","D1501"
"D1502","141","111","Chef / Cheffe de rayon alimentaire","Emploi Blanc","","","","","D1502"
"D1503","142","112","Chef / Cheffe de rayon de produits non alimentaires","Emploi Blanc","","","","","D1503"
"D1504","150","113","Directeur / Directrice de magasin","Emploi Blanc","","","","","D1504"
"D1505","139","114","Caissier / Caissière","Emploi Blanc","","","","","D1505"
"D1506","152","115","Marchandiseur / Marchandiseuse","Emploi Blanc","","","","","D1506"
"D1507","137","116","Employé / Employée de libre-service","Emploi Blanc","","","","","D1507"
"D1508","144","117","Responsable de caisses","Emploi Blanc","","","","","D1508"
"D1509","148","118","Responsable de département en grande distribution","Emploi Blanc","","","","","D1509"
"D1510","30038","403087","Chef / Cheffe de secteur commercial","Emploi Blanc","N","N","N","O","D1509"
"E1101","112","119","Animateur / Animatrice de communauté virtuelle","Emploi Blanc","O","N","N","N","E1101"
"E1102","110","120","Écrivain / Écrivaine","Emploi Blanc","","","","","E1102"
"E1103","121","121","Chargé / Chargée des relations publiques","Emploi Blanc","N","","","","E1103"
"E1104","119","122","Concepteur / Conceptrice de contenus multimedia","Emploi Blanc","","","","","E1104"
"E1105","123","123","Éditeur / Éditrice","Emploi Blanc","","","","","E1105"
"E1106","116","124","Journaliste","Emploi Blanc","","","","","E1106"
"E1107","30037","125","Chef / Cheffe de projet événementiel","Emploi Blanc","N","N","N","O","E1107"
"E1108","126","126","Traducteur / Traductrice","Emploi Blanc","","","","","E1108"
"E1109","30039","403088","Directeur / Directrice de la communication","Emploi Blanc","N","N","N","O","E1103"
"E1110","32666","488749","Community manager","Emploi Blanc","N","N","N","N","E1101"
"E1111","32723","488867","Game master jeux online","Emploi Blanc","O","N","N","N","E1101"
"E1112","32777","488921","Chargé / Chargée de communication","Emploi Blanc","N","N","N","O","E1103"
"E1113","32836","489052","E-commercial / E-commerciale","Emploi Blanc","O","N","N","N","E1101"
"E1201","128","127","Photographe","Emploi Blanc","","","","","E1201"
"E1202","138","128","Employé / Employée de laboratoire cinématographique","Emploi Blanc","","","","","E1202"
"E1203","136","129","Développeur / Développeuse de photographies","Emploi Blanc","","","","","E1203"
"E1204","582","130","Projectionniste","Emploi Blanc","","","","","E1204"
"E1205","134","131","Graphiste","Emploi Blanc","O","","","","E1205"
"E1206","30071","404036","UX - UI Designer","Emploi Blanc","O","","","","E1205"
